Drug1,Drug2,VITAMINS,SYMPTOMS,vitamin_labels,combined_text,vitamin_inferred,inference_confidence
Nalidixicacid,Digitoxin,B12,"Fatigue,,tingling",['B12'],"nalidixicacid digitoxin fatigue,,tingling",False,
Belinostat,Digitoxin,B12,"Fatigue,,pallor",['B12'],"belinostat digitoxin fatigue,,pallor",False,
Trametinib,Digitoxin,B12,"Fatigue,,tingling",['B12'],"trametinib digitoxin fatigue,,tingling",False,
Anastrozole,Digitoxin,B12,"Peripheral,fatigue",['B12'],"anastrozole digitoxin peripheral,fatigue",False,
Bosutinib,Digitoxin,B12,"Fatigue,,tingling",['B12'],"bosutinib digitoxin fatigue,,tingling",False,
Cobimetinib,Digitoxin,B12,"Fatigue,,tingling",['B12'],"cobimetinib digitoxin fatigue,,tingling",False,
Besifloxacin,Digitoxin,B12,"Fatigue,,pallor",['B12'],"besifloxacin digitoxin fatigue,,pallor",False,
Tegafur,Digitoxin,"B9,B12","Fatigue,pallor,mouthulcers",['B12'],"tegafur digitoxin fatigue,pallor,mouthulcers",False,
Alitretinoin,Digitoxin,B12,"Peripheral,fatigue",['B12'],"alitretinoin digitoxin peripheral,fatigue",False,
Pipobroman,Digitoxin,"B9,B12","Fatigue,,pallor",['B12'],"pipobroman digitoxin fatigue,,pallor",False,
Uracilmustard,Digitoxin,"B9,B12","Fatigue,mouthulcers,",['B12'],"uracilmustard digitoxin fatigue,mouthulcers,",False,
Alectinib,Digitoxin,B12,"Fatigue,tingling,",['B12'],"alectinib digitoxin fatigue,tingling,",False,
Testolactone,Digitoxin,B12,"Fatigue,peripheral",['B12'],"testolactone digitoxin fatigue,peripheral",False,
Eflornithine,Digitoxin,B12,"Tingling,fatigue,",['B12'],"eflornithine digitoxin tingling,fatigue,",False,
Trovafloxacin,Digitoxin,B12,"Peripheral,fatigue",['B12'],"trovafloxacin digitoxin peripheral,fatigue",False,
Nintedanib,Digitoxin,B12,"Fatigue,,tingling",['B12'],"nintedanib digitoxin fatigue,,tingling",False,
Methylaminolevulinate,Digitoxin,B12,"Fatigue,peripheral",['B12'],"methylaminolevulinate digitoxin fatigue,peripheral",False,
Enoxacin,Digitoxin,B12,"Fatigue,,tingling",['B12'],"enoxacin digitoxin fatigue,,tingling",False,
Pefloxacin,Digitoxin,B12,"Peripheral,fatigue",['B12'],"pefloxacin digitoxin peripheral,fatigue",False,
Azelaicacid,Digitoxin,B12,"Fatigue,tingling,",['B12'],"azelaicacid digitoxin fatigue,tingling,",False,
Cinoxacin,Digitoxin,B12,"Fatigue,,pallor",['B12'],"cinoxacin digitoxin fatigue,,pallor",False,
Phenylaceticacid,Digitoxin,B12,"Fatigue,tingling,",['B12'],"phenylaceticacid digitoxin fatigue,tingling,",False,
Sparfloxacin,Digitoxin,B12,"Peripheral,fatigue",['B12'],"sparfloxacin digitoxin peripheral,fatigue",False,
Niraparib,Digitoxin,B12,"Fatigue,,tingling",['B12'],"niraparib digitoxin fatigue,,tingling",False,
Vapreotide,Digitoxin,B12,"Fatigue,peripheral",['B12'],"vapreotide digitoxin fatigue,peripheral",False,
Verteporfin,Digitoxin,B12,"Fatigue,tingling,",['B12'],"verteporfin digitoxin fatigue,tingling,",False,
Sonidegib,Digitoxin,B12,"Fatigue,ness,tingling,",['B12'],"sonidegib digitoxin fatigue,ness,tingling,",False,
Cyproteroneacetate,Digitoxin,B12,"Fatigue,,tingling",['B12'],"cyproteroneacetate digitoxin fatigue,,tingling",False,
Suramin,Digitoxin,B12,"Fatigue,peripheral,pallor",['B12'],"suramin digitoxin fatigue,peripheral,pallor",False,
Omacetaxinemepesuccinate,Digitoxin,B12,"Fatigue,tingling,",['B12'],"omacetaxinemepesuccinate digitoxin fatigue,tingling,",False,
Aminoglutethimide,Digitoxin,B12,"Fatigue,,tingling",['B12'],"aminoglutethimide digitoxin fatigue,,tingling",False,
Mequinol,Digitoxin,B12,"Fatigue,,tingling",['B12'],"mequinol digitoxin fatigue,,tingling",False,
Podophyllin,Digitoxin,B12,"Fatigue,ness,",['B12'],"podophyllin digitoxin fatigue,ness,",False,
Megestrolacetate,Digitoxin,B12,"Fatigue,,pallor",['B12'],"megestrolacetate digitoxin fatigue,,pallor",False,
Phenylyricacid,Digitoxin,B12,"Fatigue,peripheral,tingling",['B12'],"phenylyricacid digitoxin fatigue,peripheral,tingling",False,
Trifluridine,Digitoxin,B12,"Fatigue,,tingling",['B12'],"trifluridine digitoxin fatigue,,tingling",False,
Medrogestone,Digitoxin,B12,"Fatigue,ness,",['B12'],"medrogestone digitoxin fatigue,ness,",False,
Lycopene,Digitoxin,B12,"Fatigue,peripheral,tingling",['B12'],"lycopene digitoxin fatigue,peripheral,tingling",False,
Tretinoin,Deslanoside,A,"Nightblindness,dryskin,immuneissues",['A'],"tretinoin deslanoside nightblindness,dryskin,immuneissues",False,
A,Deslanoside,A,"Nightblindness,dryskin,poorwoundhealing",['A'],"a deslanoside nightblindness,dryskin,poorwoundhealing",False,
Calcipotriol,Deslanoside,D,"Bonepain,muscleweakness,fatigue",['D'],"calcipotriol deslanoside bonepain,muscleweakness,fatigue",False,
Alitretinoin,Deslanoside,A,"Dryskin,nightblindness,poorwoundhealing",['A'],"alitretinoin deslanoside dryskin,nightblindness,poorwoundhealing",False,
Masoprocol,Deslanoside,C,"Fatigue,bruising,slowwoundhealing",['C'],"masoprocol deslanoside fatigue,bruising,slowwoundhealing",False,
Lenalidomide,Deslanoside,B12,"Fatigue,ness,weakness",['B12'],"lenalidomide deslanoside fatigue,ness,weakness",False,
Ecabet,Deslanoside,B12,"Fatigue,ness,weakness",['B12'],"ecabet deslanoside fatigue,ness,weakness",False,
Vemurafenib,Deslanoside,D,"Bonepain,fatigue,muscleweakness",['D'],"vemurafenib deslanoside bonepain,fatigue,muscleweakness",False,
Dasatinib,Deslanoside,B12,"Fatigue,ness,weakness",['B12'],"dasatinib deslanoside fatigue,ness,weakness",False,
Aminolevulinicacid,Acetyldigitoxin,"Iron,B6","Fatigue,anemia,weakness",['B6'],"aminolevulinicacid acetyldigitoxin fatigue,anemia,weakness",False,
Temoporfin,Acetyldigitoxin,D,"Bonepain,muscleweakness",['D'],"temoporfin acetyldigitoxin bonepain,muscleweakness",False,
Cyclophosphamide,Acetyldigitoxin,",B12","Fatigue,anemia,",['B12'],"cyclophosphamide acetyldigitoxin fatigue,anemia,",False,
Sulpiride,Acetyldigitoxin,B12,"Fatigue,ness,weakness",['B12'],"sulpiride acetyldigitoxin fatigue,ness,weakness",False,
Pirlindole,Acetyldigitoxin,B12,"Fatigue,ness,weakness",['B12'],"pirlindole acetyldigitoxin fatigue,ness,weakness",False,
Lanreotide,Acetyldigitoxin,B12,"Fatigue,",['B12'],"lanreotide acetyldigitoxin fatigue,",False,
Imatinib,Acetyldigitoxin,",B12","Fatigue,anemia,",['B12'],"imatinib acetyldigitoxin fatigue,anemia,",False,
Mitotane,Acetyldigitoxin,D,"Bonepain,weakness",['D'],"mitotane acetyldigitoxin bonepain,weakness",False,
Olaparib,Acetyldigitoxin,",B12","Fatigue,anemia,",['B12'],"olaparib acetyldigitoxin fatigue,anemia,",False,
Prednisolone,Acetyldigitoxin,"D,Ca","Boneloss,muscleweakness",['D'],"prednisolone acetyldigitoxin boneloss,muscleweakness",False,
Medroxyprogesteroneacetate,Acetyldigitoxin,D,"Bonepain,weakness",['D'],"medroxyprogesteroneacetate acetyldigitoxin bonepain,weakness",False,
Enzalutamide,Acetyldigitoxin,D,"Bonepain,muscleweakness",['D'],"enzalutamide acetyldigitoxin bonepain,muscleweakness",False,
Dexamethasone,Acetyldigitoxin,"D,Ca","Boneloss,muscleweakness",['D'],"dexamethasone acetyldigitoxin boneloss,muscleweakness",False,
Letrozole,Acetyldigitoxin,D,"Bonepain,weakness",['D'],"letrozole acetyldigitoxin bonepain,weakness",False,
Reserpine,Acetyldigitoxin,"B12,","Fatigue,weakness,",['B12'],"reserpine acetyldigitoxin fatigue,weakness,",False,
Thalidomide,Acetyldigitoxin,D,"Bonepain,muscleweakness",['D'],"thalidomide acetyldigitoxin bonepain,muscleweakness",False,
Pomalidomide,Acetyldigitoxin,D,"Bonepain,weakness",['D'],"pomalidomide acetyldigitoxin bonepain,weakness",False,
Cabergoline,Acetyldigitoxin,B12,"Fatigue,anemia,",['B12'],"cabergoline acetyldigitoxin fatigue,anemia,",False,
Toremifene,Acetyldigitoxin,D,"Bonepain,muscleweakness",['D'],"toremifene acetyldigitoxin bonepain,muscleweakness",False,
Goserelin,Acetyldigitoxin,D,"Bonepain,muscleweakness",['D'],"goserelin acetyldigitoxin bonepain,muscleweakness",False,
Octreotide,Acetyldigitoxin,B12,"Fatigue,anemia,",['B12'],"octreotide acetyldigitoxin fatigue,anemia,",False,
Triptorelin,Acetyldigitoxin,D,"Bonepain,weakness",['D'],"triptorelin acetyldigitoxin bonepain,weakness",False,
Degarelix,Acetyldigitoxin,D,"Muscleweakness,bonepain",['D'],"degarelix acetyldigitoxin muscleweakness,bonepain",False,
Streptomycin,Acetyldigitoxin,B12,"Fatigue,anemia,",['B12'],"streptomycin acetyldigitoxin fatigue,anemia,",False,
Kanamycin,Acetyldigitoxin,B12,"Fatigue,anemia,",['B12'],"kanamycin acetyldigitoxin fatigue,anemia,",False,
Formestane,Acetyldigitoxin,D,"Bonepain,muscleweakness",['D'],"formestane acetyldigitoxin bonepain,muscleweakness",False,
Tretinoin,Acetyldigitoxin,A,"Dryskin,visionissues,immunedysfunction",['A'],"tretinoin acetyldigitoxin dryskin,visionissues,immunedysfunction",False,
A,Acetyldigitoxin,A,"Nightblindness,dryskin,fatigue",['A'],"a acetyldigitoxin nightblindness,dryskin,fatigue",False,
Calcipotriol,Acetyldigitoxin,D,"Bonepain,muscleweakness",['D'],"calcipotriol acetyldigitoxin bonepain,muscleweakness",False,
Alitretinoin,Acetyldigitoxin,A,"Dryskin,nightblindness,fatigue",['A'],"alitretinoin acetyldigitoxin dryskin,nightblindness,fatigue",False,
Verteporfin,Acetyldigitoxin,"Mg,A","Muscleweakness,visionchanges",['A'],"verteporfin acetyldigitoxin muscleweakness,visionchanges",False,
Tiaprofenicacid,Gatifloxacin,"B12, D, C","Nausea,stomachupset,kidneyfunctionchanges","['B12', 'D', 'C']","tiaprofenicacid gatifloxacin nausea,stomachupset,kidneyfunctionchanges",False,
Carprofen,Gatifloxacin,"B12, Folate, C","GIbleeding,stomachpain","['B12', 'Folate', 'C']","carprofen gatifloxacin gibleeding,stomachpain",False,
Cyclophosphamide,Gatifloxacin,"B12, Folate, D","Kidney,livermonitoringneeded","['B12', 'Folate', 'D']","cyclophosphamide gatifloxacin kidney,livermonitoringneeded",False,
Paclitaxel,Gatifloxacin,"B12, Folate, D",ArrhythmiariskQTprolongation,"['B12', 'Folate', 'D']",paclitaxel gatifloxacin arrhythmiariskqtprolongation,False,
Docetaxel,Gatifloxacin,"B12, Folate, D",Arrhythmiarisk,"['B12', 'Folate', 'D']",docetaxel gatifloxacin arrhythmiarisk,False,
Prednisolone,Gatifloxacin,"D, B6, C","Hyperglycemia,fluidretention","['D', 'B6', 'C']","prednisolone gatifloxacin hyperglycemia,fluidretention",False,
Dexamethasone,Gatifloxacin,"D, B6, C","Hyperglycemia,fluidretention","['D', 'B6', 'C']","dexamethasone gatifloxacin hyperglycemia,fluidretention",False,
Paclitaxel,Nalidixicacid,B12,"ness,tingling,anemia",['B12'],"paclitaxel nalidixicacid ness,tingling,anemia",False,
Acarbose,Nalidixicacid,B12,"Fatigue,,pallor",['B12'],"acarbose nalidixicacid fatigue,,pallor",False,
Prednisolone,Nalidixicacid,"Ca,D","Bonepain,fatigue,muscleweakness",['D'],"prednisolone nalidixicacid bonepain,fatigue,muscleweakness",False,
Dexamethasone,Nalidixicacid,"Ca,D","Osteoporosis,muscleweakness",['D'],"dexamethasone nalidixicacid osteoporosis,muscleweakness",False,
Prednisone,Nalidixicacid,"Ca,D","Bonefragility,fatigue",['D'],"prednisone nalidixicacid bonefragility,fatigue",False,
Formestane,Nalidixicacid,D,"Bonepain,fatigue,muscleweakness",['D'],"formestane nalidixicacid bonepain,fatigue,muscleweakness",False,
Masoprocol,Nalidixicacid,C,"Gumbleeding,slowwoundhealing,fatigue",['C'],"masoprocol nalidixicacid gumbleeding,slowwoundhealing,fatigue",False,
Pirfenidone,Nalidixicacid,D,"Bonepain,fatigue,muscleweakness",['D'],"pirfenidone nalidixicacid bonepain,fatigue,muscleweakness",False,
Vemurafenib,Nalidixicacid,D,"Muscleweakness,bonepain,fatigue",['D'],"vemurafenib nalidixicacid muscleweakness,bonepain,fatigue",False,
Nimesulide,Nalidixicacid,C,"Gumbleeding,slowwoundhealing,fatigue",['C'],"nimesulide nalidixicacid gumbleeding,slowwoundhealing,fatigue",False,
Acetylsalicylicacid,Nalidixicacid,C,"Bleedinggums,easybruising,fatigue",['C'],"acetylsalicylicacid nalidixicacid bleedinggums,easybruising,fatigue",False,
Diflunisal,Nalidixicacid,C,"Fatigue,slowhealing,gumbleeding",['C'],"diflunisal nalidixicacid fatigue,slowhealing,gumbleeding",False,
Azelastine,Nalidixicacid,A,"Nightblindness,dryeyes,skinchanges",['A'],"azelastine nalidixicacid nightblindness,dryeyes,skinchanges",False,
Miglitol,Nalidixicacid,B12,"Fatigue,ness,tingling",['B12'],"miglitol nalidixicacid fatigue,ness,tingling",False,
Quinine,Nalidixicacid,B12,"Tingling,ness,fatigue",['B12'],"quinine nalidixicacid tingling,ness,fatigue",False,
Metformin,Nalidixicacid,B12,"Fatigue,ness,tingling",['B12'],"metformin nalidixicacid fatigue,ness,tingling",False,
Bromocriptine,Nalidixicacid,B6,"Peripheral,irritability,depression",['B6'],"bromocriptine nalidixicacid peripheral,irritability,depression",False,
Seratrodast,Nalidixicacid,C,"Fatigue,bleedinggums,slowwoundhealing",['C'],"seratrodast nalidixicacid fatigue,bleedinggums,slowwoundhealing",False,
Chloroquine,Nalidixicacid,B12,"Fatigue,ness,tinglinginhands,feet",['B12'],"chloroquine nalidixicacid fatigue,ness,tinglinginhands,feet",False,
Salicylicacid,Nalidixicacid,C,"Easybruising,gumbleeding,slowhealing",['C'],"salicylicacid nalidixicacid easybruising,gumbleeding,slowhealing",False,
Fluticasonepropionate,Nalidixicacid,D,"Bonepain,muscleweakness,fractures",['D'],"fluticasonepropionate nalidixicacid bonepain,muscleweakness,fractures",False,
Olopatadine,Nalidixicacid,A,"Nightblindness,dryeyes,skinchanges",['A'],"olopatadine nalidixicacid nightblindness,dryeyes,skinchanges",False,
Fluticasonefuroate,Nalidixicacid,D,"Weakbones,muscleweakness,fatigue",['D'],"fluticasonefuroate nalidixicacid weakbones,muscleweakness,fatigue",False,
Prasterone,Nalidixicacid,D,"Bonepain,weakness,fatigue",['D'],"prasterone nalidixicacid bonepain,weakness,fatigue",False,
Diflorasone,Nalidixicacid,D,"Muscleweakness,bonepain,fatigue",['D'],"diflorasone nalidixicacid muscleweakness,bonepain,fatigue",False,
Flumethasone,Nalidixicacid,D,"Weakbones,musclecramps,fatigue",['D'],"flumethasone nalidixicacid weakbones,musclecramps,fatigue",False,
Desoximetasone,Nalidixicacid,D,"Bonepain,weakness,fatigue",['D'],"desoximetasone nalidixicacid bonepain,weakness,fatigue",False,
Mometasone,Nalidixicacid,D,"Muscleweakness,fractures,bonepain",['D'],"mometasone nalidixicacid muscleweakness,fractures,bonepain",False,
Clobetasolpropionate,Nalidixicacid,D,"Weakbones,muscleweakness,fractures",['D'],"clobetasolpropionate nalidixicacid weakbones,muscleweakness,fractures",False,
Estrone,Nalidixicacid,D,"Boneloss,fatigue,muscleweakness",['D'],"estrone nalidixicacid boneloss,fatigue,muscleweakness",False,
Difluprednate,Nalidixicacid,D,"Bonepain,fractures,fatigue",['D'],"difluprednate nalidixicacid bonepain,fractures,fatigue",False,
Fluprednidene,Nalidixicacid,D,"Muscleweakness,bonepain,fatigue",['D'],"fluprednidene nalidixicacid muscleweakness,bonepain,fatigue",False,
Beclomethasonedipropionate,Nalidixicacid,D,"Weakbones,fractures,fatigue",['D'],"beclomethasonedipropionate nalidixicacid weakbones,fractures,fatigue",False,
Tixocortol,Nalidixicacid,D,"Bonepain,muscleweakness,fatigue",['D'],"tixocortol nalidixicacid bonepain,muscleweakness,fatigue",False,
Fluocinonide,Nalidixicacid,D,"Weakbones,musclecramps,fatigue",['D'],"fluocinonide nalidixicacid weakbones,musclecramps,fatigue",False,
Ciclesonide,Nalidixicacid,D,"Bonepain,fractures,fatigue",['D'],"ciclesonide nalidixicacid bonepain,fractures,fatigue",False,
Cortisoneacetate,Nalidixicacid,D,"Bonepain,muscleweakness,fatigue",['D'],"cortisoneacetate nalidixicacid bonepain,muscleweakness,fatigue",False,
Alclometasone,Nalidixicacid,D,"Weakbones,fractures,musclecramps",['D'],"alclometasone nalidixicacid weakbones,fractures,musclecramps",False,
Flunisolide,Nalidixicacid,D,"Bonepain,fractures,muscleweakness",['D'],"flunisolide nalidixicacid bonepain,fractures,muscleweakness",False,
Triamcinolone,Nalidixicacid,D,"Weakbones,fatigue,fractures",['D'],"triamcinolone nalidixicacid weakbones,fatigue,fractures",False,
Fluocinoloneacetonide,Nalidixicacid,D,"Muscleweakness,bonepain,fractures",['D'],"fluocinoloneacetonide nalidixicacid muscleweakness,bonepain,fractures",False,
Paramethasone,Nalidixicacid,D,"Bonepain,fatigue,muscleweakness",['D'],"paramethasone nalidixicacid bonepain,fatigue,muscleweakness",False,
Prednicarbate,Nalidixicacid,D,"Weakbones,fractures,musclecramps",['D'],"prednicarbate nalidixicacid weakbones,fractures,musclecramps",False,
Rimexolone,Nalidixicacid,D,"Bonepain,weakness,fatigue",['D'],"rimexolone nalidixicacid bonepain,weakness,fatigue",False,
Betamethasone,Nalidixicacid,D,"Muscleweakness,bonepain,fractures",['D'],"betamethasone nalidixicacid muscleweakness,bonepain,fractures",False,
Deflazacort,Nalidixicacid,D,"Weakbones,fatigue,muscleweakness",['D'],"deflazacort nalidixicacid weakbones,fatigue,muscleweakness",False,
Desonide,Nalidixicacid,D,"Bonepain,fractures,musclecramps",['D'],"desonide nalidixicacid bonepain,fractures,musclecramps",False,
Amcinonide,Nalidixicacid,D,"Weakbones,fatigue,muscleweakness",['D'],"amcinonide nalidixicacid weakbones,fatigue,muscleweakness",False,
Estronesulfate,Nalidixicacid,D,"Boneloss,fractures,fatigue",['D'],"estronesulfate nalidixicacid boneloss,fractures,fatigue",False,
Equilin,Nalidixicacid,D,"Weakbones,fatigue,muscleweakness",['D'],"equilin nalidixicacid weakbones,fatigue,muscleweakness",False,
Ulobetasol,Nalidixicacid,D,"Bonepain,muscleweakness,fractures",['D'],"ulobetasol nalidixicacid bonepain,muscleweakness,fractures",False,
Loteprednol,Nalidixicacid,D,"Muscleweakness,fractures,fatigue",['D'],"loteprednol nalidixicacid muscleweakness,fractures,fatigue",False,
Halcinonide,Nalidixicacid,D,"Bonepain,weakness,fatigue",['D'],"halcinonide nalidixicacid bonepain,weakness,fatigue",False,
Fluocortolone,Nalidixicacid,D,"Weakbones,musclecramps,fatigue",['D'],"fluocortolone nalidixicacid weakbones,musclecramps,fatigue",False,
Flurandrenolide,Nalidixicacid,D,"Bonepain,muscleweakness,fatigue",['D'],"flurandrenolide nalidixicacid bonepain,muscleweakness,fatigue",False,
Budesonide,Nalidixicacid,D,"Weakbones,fractures,fatigue",['D'],"budesonide nalidixicacid weakbones,fractures,fatigue",False,
Difluocortolone,Nalidixicacid,D,"Bonepain,muscleweakness,fatigue",['D'],"difluocortolone nalidixicacid bonepain,muscleweakness,fatigue",False,
Medrysone,Nalidixicacid,D,"Weakbones,fatigue,fractures",['D'],"medrysone nalidixicacid weakbones,fatigue,fractures",False,
Clocortolone,Nalidixicacid,D,"Muscleweakness,bonepain,fatigue",['D'],"clocortolone nalidixicacid muscleweakness,bonepain,fatigue",False,
Hydrocortisone,Nalidixicacid,D,"Weakbones,fatigue,musclecramps",['D'],"hydrocortisone nalidixicacid weakbones,fatigue,musclecramps",False,
Fluorometholone,Nalidixicacid,D,"Bonepain,weakness,fatigue",['D'],"fluorometholone nalidixicacid bonepain,weakness,fatigue",False,
Clobetasone,Nalidixicacid,D,"Weakbones,fractures,muscleweakness",['D'],"clobetasone nalidixicacid weakbones,fractures,muscleweakness",False,
Fenbufen,Nalidixicacid,C,"Easybruising,gumbleeding,slowhealing",['C'],"fenbufen nalidixicacid easybruising,gumbleeding,slowhealing",False,
Meclofenamicacid,Nalidixicacid,C,"Fatigue,bleedinggums,poorwoundhealing",['C'],"meclofenamicacid nalidixicacid fatigue,bleedinggums,poorwoundhealing",False,
Lumiracoxib,Nalidixicacid,C,"Easybruising,gumbleeding,fatigue",['C'],"lumiracoxib nalidixicacid easybruising,gumbleeding,fatigue",False,
Tolmetin,Nalidixicacid,C,"Fatigue,bleedinggums,slowwoundhealing",['C'],"tolmetin nalidixicacid fatigue,bleedinggums,slowwoundhealing",False,
Tenoxicam,Nalidixicacid,C,"Easybruising,gumbleeding,fatigue",['C'],"tenoxicam nalidixicacid easybruising,gumbleeding,fatigue",False,
Cholinemagnesiumtrisalicylate,Nalidixicacid,C,"Slowhealing,fatigue,gumbleeding",['C'],"cholinemagnesiumtrisalicylate nalidixicacid slowhealing,fatigue,gumbleeding",False,
Etoricoxib,Nalidixicacid,C,"Fatigue,easybruising,bleedinggums",['C'],"etoricoxib nalidixicacid fatigue,easybruising,bleedinggums",False,
Suprofen,Nalidixicacid,C,"Weakness,gumbleeding,slowhealing",['C'],"suprofen nalidixicacid weakness,gumbleeding,slowhealing",False,
Flurbiprofen,Nalidixicacid,C,"Easybruising,fatigue,poorwoundhealing",['C'],"flurbiprofen nalidixicacid easybruising,fatigue,poorwoundhealing",False,
Indomethacin,Nalidixicacid,C,"Fatigue,gumbleeding,bruising",['C'],"indomethacin nalidixicacid fatigue,gumbleeding,bruising",False,
Oxyphenazone,Nalidixicacid,C,"Weakness,slowhealing,bleedinggums",['C'],"oxyphenazone nalidixicacid weakness,slowhealing,bleedinggums",False,
Icatibant,Nalidixicacid,C,"Fatigue,easybruising,gumbleeding",['C'],"icatibant nalidixicacid fatigue,easybruising,gumbleeding",False,
Alclofenac,Nalidixicacid,C,"Poorwoundhealing,fatigue,gumbleeding",['C'],"alclofenac nalidixicacid poorwoundhealing,fatigue,gumbleeding",False,
Etodolac,Nalidixicacid,C,"Fatigue,bruising,bleedinggums",['C'],"etodolac nalidixicacid fatigue,bruising,bleedinggums",False,
Droxicam,Nalidixicacid,C,"Weakness,gumbleeding,slowhealing",['C'],"droxicam nalidixicacid weakness,gumbleeding,slowhealing",False,
Apremilast,Nalidixicacid,C,"Fatigue,bruising,poorwoundhealing",['C'],"apremilast nalidixicacid fatigue,bruising,poorwoundhealing",False,
Tolfenamicacid,Nalidixicacid,C,"Easybruising,fatigue,gumbleeding",['C'],"tolfenamicacid nalidixicacid easybruising,fatigue,gumbleeding",False,
Lornoxicam,Nalidixicacid,C,"Weakness,slowwoundhealing,gumbleeding",['C'],"lornoxicam nalidixicacid weakness,slowwoundhealing,gumbleeding",False,
Bromfenac,Nalidixicacid,C,"Fatigue,easybruising,bleedinggums",['C'],"bromfenac nalidixicacid fatigue,easybruising,bleedinggums",False,
Propacetamol,Nalidixicacid,C,"Poorwoundhealing,fatigue,gumbleeding",['C'],"propacetamol nalidixicacid poorwoundhealing,fatigue,gumbleeding",False,
Parecoxib,Nalidixicacid,C,"Fatigue,bruising,gumbleeding",['C'],"parecoxib nalidixicacid fatigue,bruising,gumbleeding",False,
Phenylazone,Nalidixicacid,C,"Weakness,slowhealing,easybruising",['C'],"phenylazone nalidixicacid weakness,slowhealing,easybruising",False,
Acemetacin,Nalidixicacid,C,"Fatigue,bleedinggums,poorwoundhealing",['C'],"acemetacin nalidixicacid fatigue,bleedinggums,poorwoundhealing",False,
Teriflunomide,Nalidixicacid,C,"Weakness,slowhealing,bruising",['C'],"teriflunomide nalidixicacid weakness,slowhealing,bruising",False,
Nabumetone,Nalidixicacid,C,"Fatigue,easybruising,gumbleeding",['C'],"nabumetone nalidixicacid fatigue,easybruising,gumbleeding",False,
Epirizole,Nalidixicacid,C,"Weakness,poorwoundhealing,fatigue",['C'],"epirizole nalidixicacid weakness,poorwoundhealing,fatigue",False,
Ketorolac,Nalidixicacid,C,"Fatigue,gumbleeding,easybruising",['C'],"ketorolac nalidixicacid fatigue,gumbleeding,easybruising",False,
Salsalate,Nalidixicacid,C,"Slowwoundhealing,weakness,fatigue",['C'],"salsalate nalidixicacid slowwoundhealing,weakness,fatigue",False,
Aceclofenac,Nalidixicacid,C,"Fatigue,bruising,gumbleeding",['C'],"aceclofenac nalidixicacid fatigue,bruising,gumbleeding",False,
Niflumicacid,Nalidixicacid,C,"Weakness,poorhealing,gumbleeding",['C'],"niflumicacid nalidixicacid weakness,poorhealing,gumbleeding",False,
Zaltoprofen,Nalidixicacid,C,"Fatigue,easybruising,slowhealing",['C'],"zaltoprofen nalidixicacid fatigue,easybruising,slowhealing",False,
Naproxen,Nalidixicacid,C,"Weakness,gumbleeding,fatigue",['C'],"naproxen nalidixicacid weakness,gumbleeding,fatigue",False,
Pimecrolimus,Nalidixicacid,C,"Slowwoundhealing,fatigue,bruising",['C'],"pimecrolimus nalidixicacid slowwoundhealing,fatigue,bruising",False,
Antipyrine,Nalidixicacid,C,"Fatigue,bleedinggums,easybruising",['C'],"antipyrine nalidixicacid fatigue,bleedinggums,easybruising",False,
Meloxicam,Nalidixicacid,C,"Fatigue,bleedinggums,slowwoundhealing",['C'],"meloxicam nalidixicacid fatigue,bleedinggums,slowwoundhealing",False,
Clonixin,Nalidixicacid,C,"Weakness,easybruising,gumbleeding",['C'],"clonixin nalidixicacid weakness,easybruising,gumbleeding",False,
Piroxicam,Nalidixicacid,C,"Fatigue,poorwoundhealing,bruising",['C'],"piroxicam nalidixicacid fatigue,poorwoundhealing,bruising",False,
Fenoprofen,Nalidixicacid,C,"Weakness,gumbleeding,slowhealing",['C'],"fenoprofen nalidixicacid weakness,gumbleeding,slowhealing",False,
Oxaprozin,Nalidixicacid,C,"Fatigue,bruising,poorwoundhealing",['C'],"oxaprozin nalidixicacid fatigue,bruising,poorwoundhealing",False,
Salicylamide,Nalidixicacid,C,"Easybruising,fatigue,bleedinggums",['C'],"salicylamide nalidixicacid easybruising,fatigue,bleedinggums",False,
Loxoprofen,Nalidixicacid,C,"Weakness,slowhealing,gumbleeding",['C'],"loxoprofen nalidixicacid weakness,slowhealing,gumbleeding",False,
Zileuton,Nalidixicacid,C,"Fatigue,bruising,poorwoundhealing",['C'],"zileuton nalidixicacid fatigue,bruising,poorwoundhealing",False,
Floctafenine,Nalidixicacid,C,"Weakness,gumbleeding,fatigue",['C'],"floctafenine nalidixicacid weakness,gumbleeding,fatigue",False,
Ibuprofen,Nalidixicacid,C,"Fatigue,easybruising,slowhealing",['C'],"ibuprofen nalidixicacid fatigue,easybruising,slowhealing",False,
Etofenamate,Nalidixicacid,C,"Weakness,poorwoundhealing,bleedinggums",['C'],"etofenamate nalidixicacid weakness,poorwoundhealing,bleedinggums",False,
Diclofenac,Nalidixicacid,C,"Fatigue,gumbleeding,bruising",['C'],"diclofenac nalidixicacid fatigue,gumbleeding,bruising",False,
Nepafenac,Nalidixicacid,C,"Weakness,slowhealing,easybruising",['C'],"nepafenac nalidixicacid weakness,slowhealing,easybruising",False,
Sulfasalazine,Nalidixicacid,C,"Fatigue,poorwoundhealing,gumbleeding",['C'],"sulfasalazine nalidixicacid fatigue,poorwoundhealing,gumbleeding",False,
Benzydamine,Nalidixicacid,C,"Weakness,bruising,fatigue",['C'],"benzydamine nalidixicacid weakness,bruising,fatigue",False,
